day_id,split,fold
0,train,3
1,train,3
2,train,3
3,train,3
4,train,3
5,train,3
6,train,3
7,train,3
8,train,3
9,train,3
10,train,3
11,train,3
12,train,3
13,train,3
14,train,3
15,train,3
16,train,3
17,train,3
18,train,3
19,train,3
20,train,3
21,train,3
22,train,3
23,train,3
24,train,3
25,train,3
26,train,3
27,train,3
28,train,3
29,train,3
30,train,3
31,train,3
32,train,3
33,train,3
34,val,3
35,val,3
36,val,3
37,val,3
38,val,3
39,val,3
40,val,3
41,val,3
42,val,3
43,val,3
44,val,3
45,val,3
46,val,3
47,val,3
48,val,3
49,val,3
