price,load,lambda,sin_hour,cos_hour,day_of_week,is_weekend,t,day_id
145.07849,111.251236,19.35987,0.0,1.0,0,0,0,0
169.90544,111.251236,23.414703,0.06540312923014306,0.9978589232386035,0,0,1,0
107.60614,90.90794,19.196375,0.13052619222005157,0.9914448613738104,0,0,2,0
123.2164,110.47364,29.869274,0.19509032201612825,0.9807852804032304,0,0,3,0
129.87476,110.545456,20.547623,0.25881904510252074,0.9659258262890683,0,0,4,0
129.89981,111.251236,19.196375,0.3214394653031616,0.9469301294951057,0,0,5,0
132.83228,102.7341,21.816057,0.3826834323650898,0.9238795325112867,0,0,6,0
130.87872,110.73466,20.255114,0.4422886902190013,0.8968727415326883,0,0,7,0
155.86269,100.21132,35.875343,0.49999999999999994,0.8660254037844387,0,0,8,0
139.12282,93.49049,32.248344,0.5555702330196022,0.8314696123025452,0,0,9,0
99.533165,110.26409,19.196375,0.6087614290087207,0.7933533402912352,0,0,10,0
143.65414,107.45687,25.864285,0.6593458151000688,0.7518398074789774,0,0,11,0
157.26668,111.251236,22.778124,0.7071067811865475,0.7071067811865476,0,0,12,0
154.07239,111.251236,29.799126,0.7518398074789773,0.659345815100069,0,0,13,0
137.44244,104.8293,24.121391,0.7933533402912352,0.6087614290087207,0,0,14,0
123.986626,110.74501,19.196375,0.8314696123025452,0.5555702330196023,0,0,15,0
146.11331,102.98852,31.763094,0.8660254037844386,0.5000000000000001,0,0,16,0
137.54086,86.55204,28.551537,0.8968727415326884,0.44228869021900125,0,0,17,0
118.612595,109.60365,26.289948,0.9238795325112867,0.38268343236508984,0,0,18,0
157.67442,89.17852,36.626667,0.9469301294951056,0.3214394653031617,0,0,19,0
152.80446,111.178696,21.543678,0.9659258262890683,0.25881904510252074,0,0,20,0
168.00098,107.344635,22.01011,0.9807852804032304,0.19509032201612833,0,0,21,0
178.10309,111.251236,19.507582,0.9914448613738104,0.1305261922200517,0,0,22,0
129.1345,110.08598,19.3581,0.9978589232386035,0.06540312923014305,0,0,23,0
143.39612,98.6472,26.90004,1.0,6.123233995736766e-17,0,0,24,0
137.27327,107.46626,27.293413,0.9978589232386035,-0.06540312923014314,0,0,25,0
176.0177,73.53571,38.866356,0.9914448613738105,-0.13052619222005138,0,0,26,0
119.9127,73.53571,29.575111,0.9807852804032304,-0.1950903220161282,0,0,27,0
148.11691,89.97073,30.496365,0.9659258262890683,-0.25881904510252085,0,0,28,0
178.10309,73.63964,36.826836,0.9469301294951057,-0.32143946530316136,0,0,29,0
117.58734,107.05882,25.582811,0.9238795325112867,-0.3826834323650897,0,0,30,0
143.43423,107.38319,24.288538,0.8968727415326884,-0.44228869021900113,0,0,31,0
143.716,103.123726,31.560251,0.8660254037844387,-0.4999999999999998,0,0,32,0
178.10309,111.251236,25.949966,0.8314696123025455,-0.555570233019602,0,0,33,0
128.51927,99.53081,27.40849,0.7933533402912352,-0.6087614290087207,0,0,34,0
137.42343,95.31489,29.338423,0.7518398074789774,-0.6593458151000688,0,0,35,0
174.66934,110.35982,21.38716,0.7071067811865476,-0.7071067811865475,0,0,36,0
143.90637,107.88883,28.84143,0.659345815100069,-0.7518398074789773,0,0,37,0
143.04988,93.67742,28.842365,0.6087614290087209,-0.793353340291235,0,0,38,0
128.954,76.898285,33.026466,0.5555702330196022,-0.8314696123025453,0,0,39,0
144.77878,106.05276,25.308172,0.49999999999999994,-0.8660254037844387,0,0,40,0
151.16922,73.53571,38.866356,0.4422886902190013,-0.8968727415326883,0,0,41,0
178.10309,75.4603,38.68554,0.3826834323650899,-0.9238795325112867,0,0,42,0
173.27933,100.284836,38.866356,0.32143946530316175,-0.9469301294951056,0,0,43,0
157.49399,101.90614,32.90074,0.258819045102521,-0.9659258262890682,0,0,44,0
141.87904,73.53571,25.182043,0.1950903220161286,-0.9807852804032304,0,0,45,0
157.35986,106.65571,32.018486,0.13052619222005157,-0.9914448613738104,0,0,46,0
142.40471,83.494896,34.635715,0.06540312923014312,-0.9978589232386035,0,0,47,0
100.615944,91.688896,19.521908,1.2246467991473532e-16,-1.0,0,0,48,0
141.68959,103.40238,20.540588,-0.06540312923014287,-0.9978589232386035,0,0,49,0
128.10631,97.766685,31.320162,-0.13052619222005177,-0.9914448613738104,0,0,50,0
141.92319,88.3252,37.61886,-0.19509032201612836,-0.9807852804032304,0,0,51,0
124.063324,96.36531,31.965027,-0.25881904510252035,-0.9659258262890684,0,0,52,0
117.541084,94.60321,24.429192,-0.32143946530316153,-0.9469301294951057,0,0,53,0
125.46105,85.75224,36.04476,-0.38268343236508967,-0.9238795325112868,0,0,54,0
130.26358,73.53571,32.65767,-0.4422886902190011,-0.8968727415326884,0,0,55,0
97.512886,88.38101,24.928173,-0.5000000000000001,-0.8660254037844386,0,0,56,0
132.64006,91.82173,30.0711,-0.555570233019602,-0.8314696123025455,0,0,57,0
135.92874,87.67427,30.335403,-0.6087614290087203,-0.7933533402912354,0,0,58,0
128.67328,73.53571,31.82649,-0.6593458151000688,-0.7518398074789775,0,0,59,0
132.75037,80.633995,37.134735,-0.7071067811865475,-0.7071067811865477,0,0,60,0
122.64632,84.03777,29.60616,-0.7518398074789773,-0.6593458151000691,0,0,61,0
149.73978,111.251236,31.240543,-0.7933533402912349,-0.6087614290087209,0,0,62,0
120.38193,100.789665,35.212425,-0.8314696123025452,-0.5555702330196022,0,0,63,0
168.83716,111.251236,22.95213,-0.8660254037844384,-0.5000000000000004,0,0,64,0
131.12401,73.53571,34.457535,-0.8968727415326883,-0.44228869021900136,0,0,65,0
107.69212,107.7077,30.076672,-0.9238795325112865,-0.38268343236509034,0,0,66,0
129.52129,73.53571,36.211056,-0.9469301294951056,-0.3214394653031618,0,0,67,0
108.64477,73.53571,35.761314,-0.9659258262890683,-0.25881904510252063,0,0,68,0
106.848206,110.2933,28.806524,-0.9807852804032303,-0.19509032201612866,0,0,69,0
123.10329,73.53571,33.42787,-0.9914448613738104,-0.13052619222005163,0,0,70,0
167.8657,100.92393,37.17428,-0.9978589232386035,-0.06540312923014273,0,0,71,0
153.30833,73.53571,35.475975,-1.0,-1.8369701987210297e-16,0,0,72,0
153.8102,95.903336,38.866356,-0.9978589232386036,0.06540312923014237,0,0,73,0
102.621864,110.907364,19.196375,-0.9914448613738105,0.13052619222005127,0,0,74,0
124.2127,74.96858,31.095097,-0.9807852804032304,0.1950903220161283,0,0,75,0
