day_id,t,price,pv,load,lambda,sin_hour,cos_hour,day_of_week,is_weekend
0,0,68.92,0.0,31.309,1,0.0,1.0,1,0
0,1,68.92,0.0,29.357000000000003,0,0.06540312923014306,0.9978589232386035,1,0
0,2,68.92,0.0,31.880000000000003,1,0.13052619222005157,0.9914448613738104,1,0
0,3,68.92,0.0,26.755,0,0.19509032201612825,0.9807852804032304,1,0
0,4,64.98,0.0,31.728,0,0.25881904510252074,0.9659258262890683,1,0
0,5,64.98,0.0,25.339,2,0.3214394653031616,0.9469301294951057,1,0
0,6,64.98,0.0,28.13,0,0.3826834323650898,0.9238795325112867,1,0
0,7,64.98,0.0,39.495000000000005,0,0.44228869021900125,0.8968727415326884,1,0
0,8,60.27,0.0,30.414,0,0.49999999999999994,0.8660254037844387,1,0
0,9,60.27,0.0,37.272999999999996,0,0.5555702330196022,0.8314696123025452,1,0
0,10,60.27,0.0,32.867000000000004,0,0.6087614290087207,0.7933533402912352,1,0
0,11,60.27,0.0,32.432,1,0.6593458151000688,0.7518398074789774,1,0
0,12,49.97,0.0,37.861000000000004,0,0.7071067811865476,0.7071067811865476,1,0
0,13,49.97,0.0,29.288999999999994,0,0.7518398074789774,0.6593458151000688,1,0
0,14,49.97,0.0,33.354,0,0.7933533402912352,0.6087614290087207,1,0
0,15,49.97,0.0,31.158,0,0.8314696123025451,0.5555702330196024,1,0
0,16,47.66,0.0,37.641,0,0.8660254037844386,0.5000000000000001,1,0
0,17,47.66,0.0,33.314,0,0.8968727415326884,0.44228869021900125,1,0
0,18,47.66,0.0,30.323999999999998,0,0.9238795325112867,0.38268343236508984,1,0
0,19,47.66,0.0,35.285000000000004,0,0.9469301294951056,0.3214394653031617,1,0
0,20,48.0,0.0,30.646,0,0.9659258262890683,0.25881904510252074,1,0
0,21,48.0,0.0,40.153999999999996,0,0.9807852804032304,0.19509032201612833,1,0
0,22,48.0,0.0,32.75,1,0.9914448613738104,0.1305261922200517,1,0
0,23,48.0,0.0,31.019,1,0.9978589232386035,0.06540312923014327,1,0
0,24,49.75,0.0,33.489999999999995,0,1.0,6.123233995736766e-17,1,0
0,25,49.75,0.0,37.992999999999995,0,0.9978589232386035,-0.06540312923014314,1,0
0,26,49.75,0.0,35.867000000000004,0,0.9914448613738104,-0.1305261922200516,1,0
0,27,49.75,0.0,31.3,0,0.9807852804032304,-0.1950903220161282,1,0
0,28,55.12,0.0,34.357,0,0.9659258262890683,-0.25881904510252063,1,0
0,29,55.12,0.0,36.539,2,0.9469301294951057,-0.3214394653031616,1,0
0,30,55.12,0.0,34.674,2,0.9238795325112868,-0.3826834323650895,1,0
0,31,55.12,0.0,32.474000000000004,6,0.8968727415326884,-0.44228869021900113,1,0
0,32,44.8,0.0,37.727000000000004,2,0.8660254037844387,-0.4999999999999998,1,0
0,33,44.8,0.0,45.009,3,0.8314696123025451,-0.5555702330196023,1,0
0,34,44.8,0.0,38.98800000000001,4,0.7933533402912352,-0.6087614290087207,1,0
0,35,44.8,0.0,41.06400000000001,3,0.7518398074789774,-0.6593458151000688,1,0
0,36,49.58,0.001,39.809,3,0.7071067811865476,-0.7071067811865475,1,0
0,37,49.58,0.001,28.677,4,0.659345815100069,-0.7518398074789773,1,0
0,38,49.58,0.001,31.368,2,0.6087614290087209,-0.793353340291235,1,0
0,39,49.58,0.001,31.509,4,0.5555702330196025,-0.831469612302545,1,0
0,40,55.44,0.034,30.478,3,0.49999999999999994,-0.8660254037844387,1,0
0,41,55.44,0.034,38.576,4,0.4422886902190017,-0.8968727415326881,1,0
0,42,55.44,0.034,30.546999999999997,3,0.3826834323650899,-0.9238795325112867,1,0
0,43,55.44,0.034,31.933999999999997,2,0.32143946530316175,-0.9469301294951056,1,0
0,44,62.62,0.183,35.84499999999999,4,0.258819045102521,-0.9659258262890682,1,0
0,45,62.62,0.183,29.559999999999995,3,0.19509032201612816,-0.9807852804032304,1,0
0,46,62.62,0.183,31.915000000000003,2,0.130526192220052,-0.9914448613738104,1,0
0,47,62.62,0.183,34.592000000000006,1,0.06540312923014312,-0.9978589232386035,1,0
0,48,57.4,0.276,26.539,3,1.2246467991473532e-16,-1.0,1,0
0,49,57.4,0.276,32.266000000000005,1,-0.06540312923014287,-0.9978589232386035,1,0
0,50,57.4,0.276,28.069999999999997,1,-0.13052619222005177,-0.9914448613738104,1,0
0,51,57.4,0.276,27.514000000000003,0,-0.19509032201612792,-0.9807852804032305,1,0
0,52,50.76,0.414,27.143,4,-0.2588190451025208,-0.9659258262890683,1,0
0,53,50.76,0.414,24.793,3,-0.32143946530316153,-0.9469301294951057,1,0
0,54,50.76,0.414,29.578999999999994,3,-0.38268343236508967,-0.9238795325112868,1,0
0,55,50.76,0.414,29.119999999999997,4,-0.44228869021900147,-0.8968727415326883,1,0
0,56,49.92,0.314,35.931999999999995,2,-0.4999999999999997,-0.8660254037844388,1,0
0,57,49.92,0.314,28.932000000000006,3,-0.555570233019602,-0.8314696123025455,1,0
0,58,49.92,0.314,30.423000000000002,1,-0.6087614290087207,-0.7933533402912352,1,0
0,59,49.92,0.314,35.495999999999995,1,-0.6593458151000688,-0.7518398074789774,1,0
0,60,50.05,0.134,33.376000000000005,3,-0.7071067811865471,-0.7071067811865479,1,0
0,61,50.05,0.134,34.85,2,-0.7518398074789773,-0.6593458151000691,1,0
0,62,50.05,0.134,41.083,3,-0.7933533402912349,-0.6087614290087209,1,0
0,63,50.05,0.134,34.492000000000004,4,-0.8314696123025452,-0.5555702330196022,1,0
0,64,50.6,0.004,32.597,3,-0.8660254037844385,-0.5000000000000004,1,0
0,65,50.6,0.004,33.623000000000005,3,-0.8968727415326883,-0.44228869021900136,1,0
0,66,50.6,0.004,34.693,3,-0.9238795325112868,-0.3826834323650895,1,0
